[2026-04-04 11:47:38] Unknown Attack (Anomaly) | 192.168.1.219 → 10.0.0.27 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:39] Unknown Attack (Anomaly) | 192.168.1.149 → 10.0.0.15 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:41] Unknown Attack (Anomaly) | 192.168.1.240 → 10.0.0.33 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:43] Unknown Attack (Anomaly) | 192.168.1.56 → 10.0.0.49 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:44] Unknown Attack (Anomaly) | 192.168.1.187 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:45] Unknown Attack (Anomaly) | 192.168.1.36 → 10.0.0.24 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:46] Unknown Attack (Anomaly) | 192.168.1.76 → 10.0.0.30 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:47] Unknown Attack (Anomaly) | 192.168.1.74 → 10.0.0.30 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:49] Unknown Attack (Anomaly) | 192.168.1.202 → 10.0.0.29 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:51] Unknown Attack (Anomaly) | 192.168.1.109 → 10.0.0.37 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:53] Unknown Attack (Anomaly) | 192.168.1.100 → 10.0.0.45 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:54] Unknown Attack (Anomaly) | 192.168.1.168 → 10.0.0.20 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:55] Unknown Attack (Anomaly) | 192.168.1.171 → 10.0.0.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:56] Unknown Attack (Anomaly) | 192.168.1.249 → 10.0.0.1 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:57] Unknown Attack (Anomaly) | 192.168.1.19 → 10.0.0.7 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:47:59] Unknown Attack (Anomaly) | 192.168.1.183 → 10.0.0.35 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:01] Unknown Attack (Anomaly) | 192.168.1.13 → 10.0.0.25 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:02] Unknown Attack (Anomaly) | 192.168.1.216 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:04] Unknown Attack (Anomaly) | 192.168.1.112 → 10.0.0.7 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:06] Unknown Attack (Anomaly) | 192.168.1.72 → 10.0.0.12 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:07] Unknown Attack (Anomaly) | 192.168.1.169 → 10.0.0.10 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:08] Unknown Attack (Anomaly) | 192.168.1.141 → 10.0.0.14 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:09] Unknown Attack (Anomaly) | 192.168.1.159 → 10.0.0.24 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:10] Unknown Attack (Anomaly) | 192.168.1.25 → 10.0.0.26 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:12] Unknown Attack (Anomaly) | 192.168.1.78 → 10.0.0.8 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:14] Unknown Attack (Anomaly) | 192.168.1.254 → 10.0.0.42 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:14] Unknown Attack (Anomaly) | 192.168.1.119 → 10.0.0.38 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:16] Unknown Attack (Anomaly) | 192.168.1.219 → 10.0.0.7 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:17] Unknown Attack (Anomaly) | 192.168.1.74 → 10.0.0.21 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:19] Unknown Attack (Anomaly) | 192.168.1.129 → 10.0.0.35 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:21] Unknown Attack (Anomaly) | 192.168.1.160 → 10.0.0.42 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:22] Unknown Attack (Anomaly) | 192.168.1.240 → 10.0.0.29 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:23] Unknown Attack (Anomaly) | 192.168.1.147 → 10.0.0.38 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:25] Unknown Attack (Anomaly) | 192.168.1.90 → 10.0.0.39 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:26] Unknown Attack (Anomaly) | 192.168.1.253 → 10.0.0.20 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:28] Unknown Attack (Anomaly) | 192.168.1.90 → 10.0.0.9 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:29] Unknown Attack (Anomaly) | 192.168.1.198 → 10.0.0.31 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:30] Unknown Attack (Anomaly) | 192.168.1.110 → 10.0.0.6 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:31] Unknown Attack (Anomaly) | 192.168.1.7 → 10.0.0.31 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:32] Unknown Attack (Anomaly) | 192.168.1.213 → 10.0.0.7 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:34] Unknown Attack (Anomaly) | 192.168.1.158 → 10.0.0.32 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:35] Unknown Attack (Anomaly) | 192.168.1.218 → 10.0.0.23 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:36] Unknown Attack (Anomaly) | 192.168.1.181 → 10.0.0.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:37] Unknown Attack (Anomaly) | 192.168.1.249 → 10.0.0.46 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:38] Unknown Attack (Anomaly) | 192.168.1.25 → 10.0.0.24 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:39] Unknown Attack (Anomaly) | 192.168.1.112 → 10.0.0.32 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:41] Unknown Attack (Anomaly) | 192.168.1.180 → 10.0.0.12 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:43] Unknown Attack (Anomaly) | 192.168.1.13 → 10.0.0.35 | conf=0.6 | Isolation Forest (override)
